Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
2/16/2021,163.45,161.17,161.89,160.04,0.99,54.21,-0.003,51494000,160.9,160.4068284
2/17/2021,165.43,161.29,162.03,160.2,0.99,57.61,0.012,65950000,161.04,160.5334627
2/18/2021,166.41,161.46,162.2,160.35,0.98,63.42,0.006,60548000,161.22,160.6707702
2/19/2021,162.49,161.55,162.21,160.43,0.95,38.27,-0.024,86104000,161.26,160.7886161
2/22/2021,159.04,161.55,162.08,160.43,0.95,26.73,-0.021,70314000,161.13,160.8568929
2/23/2021,159.73,161.64,161.99,160.46,0.94,34.24,0.004,93544000,161.05,160.8955143
2/24/2021,157.98,161.7,161.83,160.46,0.94,28.07,-0.011,60226000,160.89,160.8944115
2/25/2021,152.86,161.64,161.48,160.38,0.93,18.77,-0.032,90676000,160.55,160.8255292
2/26/2021,154.65,161.58,161.21,160.36,0.93,25.98,0.012,85518000,160.28,160.7164233
3/1/2021,157.31,161.56,161.06,160.34,0.97,34.55,0.017,54582000,160.09,160.5911387
3/2/2021,154.73,161.41,160.81,160.33,0.96,32.45,-0.016,51916000,159.85,160.4429109
3/3/2021,150.25,161.18,160.4,160.24,0.98,29,-0.029,79774000,159.42,160.2383287
3/4/2021,148.88,160.96,159.95,160.13,0.97,25.96,-0.009,109632000,158.98,159.986663
3/5/2021,150.02,160.75,159.56,159.99,0.95,28.97,0.008,107772000,158.61,159.7113304
3/8/2021,147.6,160.5,159.09,159.74,0.96,22.44,-0.016,83700000,158.13,159.3950643
3/9/2021,153.14,160.37,158.86,159.55,0.95,32.03,0.038,80600000,157.91,159.0980515
3/10/2021,152.88,160.26,158.62,159.4,0.94,35.55,-0.002,60250000,157.68,158.8144412
3/11/2021,155.68,160.09,158.51,159.29,0.92,44.85,0.018,55528000,157.59,158.5695529
3/12/2021,154.47,159.86,158.35,159.2,0.92,42.07,-0.008,48438000,157.43,158.3416423
3/15/2021,154.08,159.65,158.18,159.13,0.91,43.87,-0.003,58272000,157.27,158.1273139
3/16/2021,154.59,159.49,158.04,159.07,0.91,53.19,0.003,50776000,157.13,157.9278511
3/17/2021,156.79,159.44,157.99,159.05,0.9,53.88,0.014,62372000,157.09,157.7602809
3/18/2021,151.4,159.25,157.73,158.97,0.92,40.25,-0.034,72992000,156.81,157.5702247
3/19/2021,153.75,159.18,157.58,158.91,0.92,48.37,0.016,92508000,156.66,157.3881798
3/22/2021,155.54,159.13,157.5,158.86,0.92,59.67,0.012,58044000,156.58,157.2265438
3/23/2021,156.88,159.09,157.47,158.79,0.94,64.63,0.009,76346000,156.53,157.087235
3/24/2021,154.35,159.06,157.35,158.75,0.94,57.54,-0.016,59180000,156.41,156.951788
3/25/2021,152.31,158.98,157.15,158.67,0.91,58.32,-0.013,71270000,156.24,156.8094304
3/26/2021,152.6,158.87,156.97,158.67,0.9,48.83,0.002,66258000,156.07,156.6615443
3/29/2021,153.79,158.82,156.85,158.71,0.9,51.88,0.008,54920000,155.95,156.5192355
3/30/2021,152.76,158.77,156.69,158.71,0.9,43.44,-0.007,46752000,155.79,156.3733884
3/31/2021,154.7,158.74,156.61,158.64,0.92,50.5,0.013,61878000,155.69,156.2367107
4/1/2021,158.05,158.64,156.67,158.56,0.92,57.65,0.022,58806000,155.75,156.1393686
4/5/2021,161.34,158.56,156.85,158.52,0.91,61.75,0.021,66698000,155.94,156.0994949
4/6/2021,161.19,158.49,157.02,158.56,0.93,58.27,-0.001,50756000,156.09,156.0975959
4/7/2021,163.97,158.48,157.29,158.68,0.93,76.16,0.017,66924000,156.36,156.1500767
