Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
6/13/2024,441.58,416.7,418.89,413.94,408.85,62.08,0.001,15960600,10.04,9.644189089
6/14/2024,442.57,417.21,419.82,414.39,409.52,62.73,0.002,13582000,10.3,9.775351271
6/17/2024,448.37,417.68,420.94,414.86,410.29,68.2,0.013,20790000,10.65,9.950281017
6/18/2024,446.34,418.13,421.94,415.29,411,89.3,-0.005,17112500,10.94,10.14822481
6/20/2024,445.7,418.53,422.87,415.73,411.69,87.77,-0.001,19877400,11.18,10.35457985
6/21/2024,449.78,419.08,423.92,416.14,412.44,92.22,0.009,34486200,11.48,10.57966388
6/24/2024,447.67,419.49,424.85,416.55,413.14,87.18,-0.005,15913700,11.71,10.8057311
6/25/2024,450.95,420.08,425.88,417.1,413.89,85.6,0.007,16747500,11.99,11.04258488
6/26/2024,452.16,420.87,426.91,417.59,414.65,85.86,0.003,16507000,12.26,11.28606791
6/27/2024,452.85,421.65,427.93,418.03,415.4,87.6,0.002,14806300,12.53,11.53485433
6/28/2024,446.95,422.37,428.67,418.45,416.03,73.59,-0.013,28362300,12.64,11.75588346
7/1/2024,456.73,423.43,429.77,418.98,416.83,76.48,0.022,17662800,12.94,11.99270677
7/2/2024,459.28,424.65,430.93,419.45,417.67,73.02,0.006,13979800,13.26,12.24616541
7/3/2024,460.77,425.86,432.1,419.93,418.53,73.66,0.003,9932800,13.57,12.51093233
7/5/2024,467.56,427.07,433.49,420.41,419.5,76.96,0.015,16000300,13.99,12.80674587
7/8/2024,466.24,428.23,434.77,420.94,420.42,71.34,-0.003,12962300,14.35,13.11539669
7/9/2024,459.54,429.46,435.75,421.49,421.2,64.18,-0.014,17207200,14.55,13.40231735
