Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
2/11/2022,288.68,311.34,306.03,310.03,304.38,54.21,-0.024,39175600
2/14/2022,288.64,310.66,305.35,310,304.07,48.77,0,36359500
2/15/2022,293.99,310.22,304.91,310.01,303.87,50.44,0.019,27058300
2/16/2022,293.65,309.71,304.46,310.03,303.67,43.62,-0.003,29982100
2/17/2022,285.05,308.86,303.7,310,303.3,35.94,-0.029,32461600
2/18/2022,282.3,307.95,302.86,310.06,302.88,35.64,-0.01,34264000
2/22/2022,282.1,307.07,302.05,310.1,302.47,30.95,-0.001,41736100
2/23/2022,274.79,305.87,300.98,310.1,301.92,33.34,-0.026,37811200
2/24/2022,288.83,305,300.5,310.16,301.67,42.43,0.051,56989700
2/25/2022,291.5,304.41,300.15,310.31,301.46,47.8,0.009,32546700
2/28/2022,292.95,303.72,299.87,310.42,301.3,46.13,0.005,34627500
3/1/2022,289.19,303.14,299.45,310.45,301.06,37.72,-0.013,31217800
3/2/2022,294.32,302.69,299.25,310.52,300.92,48.7,0.018,31873000
3/3/2022,290.14,302.24,298.89,310.54,300.71,51.31,-0.014,27314500
3/4/2022,284.19,301.52,298.31,310.51,300.38,46.4,-0.02,32356500
3/7/2022,273.46,300.46,297.34,310.38,299.85,34.71,-0.038,43157200
3/8/2022,270.46,299.32,296.29,310.19,299.27,33.38,-0.011,48159500
