Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
2/16/2022,477.7,542.75,538.41,587.67,565.91,33.4,-0.004,3750500
2/17/2022,457.71,538.91,535.25,586.21,563.77,19.54,-0.042,4021100
2/18/2022,442.56,534.69,531.61,584.85,561.37,16.44,-0.033,5194200
2/22/2022,438.4,530.81,527.96,583.46,558.94,16.3,-0.009,4287600
2/23/2022,429.45,526.31,524.1,581.99,556.37,18,-0.02,4263000
2/24/2022,463.82,522.42,521.73,580.86,554.54,34.35,0.08,6448800
2/25/2022,465.54,519.43,519.53,579.93,552.78,36.52,0.004,2869700
2/28/2022,467.68,516.18,517.5,578.94,551.09,35.65,0.005,3302300
3/1/2022,466.68,514.19,515.5,577.9,549.42,30.69,-0.002,3352800
3/2/2022,471.18,512.48,513.76,576.82,547.87,40.1,0.01,2948500
3/3/2022,459.08,510.67,511.62,575.65,546.11,43.32,-0.026,2906300
3/4/2022,452.13,508.56,509.29,574.44,544.25,40.75,-0.015,2751600
3/7/2022,437.97,506.04,506.49,573.01,542.15,33.65,-0.031,3676100
3/8/2022,431.53,503.28,503.55,571.41,539.96,32.46,-0.015,3734800
3/9/2022,450.87,500.74,501.48,569.85,538.19,47.39,0.045,2905700
3/10/2022,438.95,498.14,499.03,568.14,536.23,48.59,-0.026,2722300
3/11/2022,416.38,495.08,495.79,566.07,533.85,42.47,-0.051,4434500
3/14/2022,411.5,491.9,492.49,563.83,531.43,43.68,-0.012,3731400
3/15/2022,421.66,488.99,489.71,561.72,529.26,32.12,0.025,3201700
3/16/2022,442.36,486.55,487.85,559.76,527.54,41.53,0.049,4141200
3/17/2022,444.36,484.36,486.15,557.76,525.89,41.47,0.005,3556700
3/18/2022,453.33,483.13,484.86,555.83,524.45,45.39,0.02,5898100
3/21/2022,453.59,481.92,483.63,553.94,523.05,43.74,0.001,3704200
3/22/2022,466.45,481.04,482.96,552.2,521.93,52.61,0.028,5377000
3/23/2022,422.9,478.98,480.6,550.04,519.97,41.78,-0.093,13979800
3/24/2022,432.14,477.03,478.7,547.86,518.23,48.31,0.022,5544300
3/25/2022,431.62,475.01,476.86,545.77,516.51,50.03,-0.001,3283600
3/28/2022,450.01,473.67,475.8,543.87,515.2,49.74,0.043,4472600
3/29/2022,466.33,472.59,475.43,541.98,514.23,58.03,0.036,4323800
3/30/2022,460.06,471.52,474.83,539.84,513.16,64.17,-0.013,3889200
3/31/2022,455.62,470.3,474.08,537.77,512.02,64.35,-0.01,4141300
4/1/2022,458.19,469.25,473.45,535.69,510.95,62.5,0.006,2718400
4/4/2022,468.81,468.63,473.27,533.7,510.12,59.72,0.023,2974500
4/5/2022,458.58,467.41,472.69,531.81,509.1,54.93,-0.022,2481900
4/6/2022,444.33,466.24,471.58,529.82,507.81,46.99,-0.031,3824900
4/7/2022,452.72,465.28,470.84,527.77,506.72,49.72,0.019,2757800
4/8/2022,445.34,464.32,469.84,525.63,505.51,43.06,-0.016,2260700
4/11/2022,434.44,462.65,468.45,523.26,504.1,54.83,-0.024,2932100
4/12/2022,426.77,460.5,466.82,520.82,502.57,47.72,-0.018,2199000
4/13/2022,431.67,458.41,465.44,518.43,501.17,50.02,0.011,3078900
4/14/2022,420.44,456.16,463.68,515.75,499.57,37.16,-0.026,2597000
4/18/2022,425.47,454.45,462.18,513.27,498.1,30.33,0.012,2594700
4/19/2022,436.4,452.91,461.17,510.98,496.88,39.1,0.026,1962700
