Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
1/2/2024,580.07,587.62,587.25,560.22,559.7,24.21,-0.028,2840200,27.55,29.15579749
1/3/2024,571.79,588.24,586.64,560.78,559.94,24.48,-0.014,2478000,26.7,28.66463799
1/4/2024,567.05,588.77,585.87,561.37,560.08,37.05,-0.008,2092100,25.79,28.08971039
1/5/2024,564.6,589.27,585.04,561.79,560.17,35.72,-0.004,1922900,24.87,27.44576831
1/8/2024,580.55,590.46,584.86,562.41,560.57,37.06,0.028,2830000,24.29,26.81461465
1/9/2024,586.2,591.9,584.91,563.13,561.08,37.19,0.01,1926900,23.83,26.21769172
1/10/2024,591.03,593.56,585.15,563.92,561.67,46.31,0.008,2135700,23.48,25.67015338
1/11/2024,597.49,594.97,585.64,564.82,562.38,48.12,0.011,2331800,23.26,25.1881227
1/12/2024,596.54,596.26,586.07,565.58,563.06,48.42,-0.002,1477000,23.01,24.75249816
1/16/2024,597.68,597.32,586.52,566.36,563.75,49.59,0.002,2126100,22.77,24.35599853
1/17/2024,596.1,598.07,586.9,567.01,564.39,50.01,-0.003,2588300,22.51,23.98679882
1/18/2024,593.7,598.67,587.16,567.83,564.97,48.74,-0.004,2793600,22.19,23.62743906
1/19/2024,611.55,599.59,588.12,568.69,565.89,58.42,0.03,3760100,22.23,23.34795125
1/22/2024,603.59,599.96,588.73,569.43,566.64,64.66,-0.013,4488000,22.09,23.096361
1/23/2024,597.18,600.2,589.06,569.99,567.24,66.2,-0.011,2723500,21.82,22.8410888
1/24/2024,606.48,600.77,589.74,570.6,568.02,73.77,0.016,2999000,21.72,22.61687104
1/25/2024,622.58,601.28,591.03,571.24,569.1,80.02,0.027,3806200,21.93,22.47949683
1/26/2024,613.93,601.75,591.93,571.74,569.99,68.69,-0.014,2137800,21.94,22.37159746
1/29/2024,630.23,602.27,593.43,572.4,571.18,72.03,0.027,3212200,22.25,22.34727797
1/30/2024,627.96,602.92,594.78,573.06,572.3,68.96,-0.004,2007400,22.48,22.37382238
1/31/2024,617.78,603.24,595.69,573.63,573.2,60.04,-0.016,2666800,22.49,22.3970579
2/1/2024,627.91,603.74,596.95,574.31,574.29,64.22,0.016,1687600,22.66,22.44964632
2/2/2024,634.76,604.18,598.43,575.01,575.48,65.99,0.011,2542200,22.95,22.54971706
2/5/2024,630.5,604.58,599.69,575.89,576.57,64.5,-0.007,2131200,23.12,22.66377365
2/6/2024,607.14,604.32,599.98,576.43,577.18,54.81,-0.037,3436200,22.8,22.69101892
2/7/2024,615.85,604.25,600.6,577.06,577.94,51.65,0.014,2313800,22.66,22.68481513
2/8/2024,615.86,604.18,601.2,577.93,578.7,55.01,0,1815700,22.5,22.64785211
2/9/2024,627.21,604.26,602.22,578.88,579.66,61.78,0.018,2091400,22.56,22.63028169
2/12/2024,611.84,604.15,602.6,579.58,580.29,52.01,-0.025,2317200,22.31,22.56622535
2/13/2024,601.89,603.97,602.57,580.24,580.72,41.88,-0.016,2985200,21.85,22.42298028
2/14/2024,604.66,603.81,602.65,581.15,581.2,46.19,0.005,1615100,21.45,22.22838422
2/15/2024,590.44,603.53,602.17,581.93,581.38,33.34,-0.024,3677400,20.79,21.94070738
2/16/2024,546.66,602.42,600,582.28,580.69,24.74,-0.074,10323000,19.31,21.4145659
2/20/2024,541.91,601.34,597.72,582.63,579.92,25.61,-0.009,6567600,17.8,20.69165272
2/21/2024,538.52,599.94,595.4,582.99,579.1,19.96,-0.006,4493500,16.3,19.81332218
2/22/2024,537.57,598.49,593.13,583.32,578.28,15.99,-0.002,5023400,14.85,18.82065774
2/23/2024,553.44,597.05,591.57,583.76,577.79,25.06,0.03,4546500,13.78,17.81252619
2/26/2024,560.48,595.59,590.35,584.15,577.45,33.11,0.013,4251200,12.9,16.83002095
2/27/2024,552.49,594.15,588.87,584.61,576.95,26.95,-0.014,3247600,11.92,15.84801676
2/28/2024,551.82,593.5,587.42,584.94,576.45,26.81,-0.001,2313200,10.97,14.87241341
2/29/2024,560.28,593.01,586.35,585.38,576.13,25.25,0.015,3844400,10.22,13.94193073
3/1/2024,570.93,592.45,585.75,585.82,576.03,34.32,0.019,2903700,9.72,13.09754458
3/4/2024,567.94,591.71,585.05,586.21,575.87,36.26,-0.005,2556400,9.18,12.31403567
3/5/2024,544.84,590.69,583.47,586.33,575.26,29.21,-0.041,4286800,8.21,11.49322853
3/6/2024,543.09,589.55,581.89,586.26,574.62,31.98,-0.003,3209800,7.27,10.64858283
3/7/2024,556.04,588.69,580.88,586.23,574.25,54.66,0.024,2660500,6.63,9.844866261
3/8/2024,551.69,587.76,579.73,586.25,573.8,54.88,-0.008,2831100,5.93,9.061893009
3/11/2024,560.42,587.05,578.97,586.35,573.54,60.38,0.016,2857800,5.43,8.335514407
3/12/2024,579.14,586.72,578.98,586.54,573.65,66.86,0.033,3469200,5.33,7.734411526
3/13/2024,573.55,586.26,578.77,586.7,573.65,58.9,-0.01,3466000,5.12,7.211529221
3/14/2024,570.45,586.07,578.44,586.85,573.58,54.57,-0.005,5908100,4.86,6.741223376
3/15/2024,492.46,584.48,575.07,586.36,571.98,33.24,-0.137,19570500,3.09,6.010978701
3/18/2024,513.86,583.42,572.67,586.1,570.83,40.5,0.043,7052700,1.84,5.176782961
3/19/2024,521.19,582.55,570.65,585.91,569.84,40.16,0.014,7081800,0.81,4.303426369
3/20/2024,519.14,581.32,568.63,585.89,568.84,36.37,-0.004,4239600,-0.21,3.400741095
3/21/2024,511.25,579.82,566.38,585.86,567.7,35.46,-0.015,5206600,-1.32,2.456592876
3/22/2024,499.52,577.99,563.76,585.78,566.35,37.66,-0.023,5410300,-2.59,1.447274301
3/25/2024,507.23,576.19,561.54,585.58,565.18,40.54,0.015,4277000,-3.64,0.429819441
3/26/2024,507.6,574.41,559.43,585.33,564.04,36.31,0.001,2813300,-4.61,-0.578144447
3/27/2024,504.4,572.54,557.27,584.93,562.86,36.55,-0.006,4228400,-5.59,-1.580515558
3/28/2024,504.6,570.71,555.2,584.39,561.7,33.32,0,3897000,-6.5,-2.564412446
4/1/2024,502.09,568.88,553.12,583.78,560.52,24.5,-0.005,2056000,-7.4,-3.531529957
4/2/2024,499.21,566.63,551.01,583.11,559.31,24.95,-0.006,3083300,-8.3,-4.485223966
4/3/2024,497.01,564.5,548.89,582.23,558.08,25.1,-0.004,2604400,-9.19,-5.426179173
4/4/2024,487.11,562.3,546.47,581.25,556.67,46.63,-0.02,3403300,-10.2,-6.380943338
4/5/2024,485.12,559.87,544.06,580.32,555.25,26.03,-0.004,4971800,-11.19,-7.34275467
4/8/2024,484.28,557.11,541.72,579.19,553.85,15.49,-0.002,3439200,-12.13,-8.300203736
4/9/2024,492.55,554.68,539.79,578.22,552.63,27.73,0.017,2548600,-12.84,-9.208162989
4/10/2024,487.22,551.82,537.73,577.04,551.34,28.97,-0.011,2487900,-13.61,-10.08853039
4/11/2024,484.28,548.94,535.63,575.93,550.01,34.24,-0.006,2978500,-14.38,-10.94682431
4/12/2024,474.09,546.07,533.22,574.65,548.51,17.39,-0.021,5620000,-15.29,-11.81545945
4/15/2024,470.1,542.91,530.74,573.33,546.96,15.56,-0.008,3353200,-16.22,-12.69636756
4/16/2024,476.22,539.74,528.6,571.96,545.55,25.44,0.013,2660100,-16.95,-13.54709405
4/17/2024,474.45,536.62,526.48,570.6,544.15,24.42,-0.004,2034800,-17.67,-14.37167524
4/18/2024,473.18,533.94,524.39,569.13,542.74,24.94,-0.003,2389700,-18.35,-15.16734019
4/19/2024,465.02,530.93,522.06,567.59,541.2,22.85,-0.017,3280600,-19.14,-15.96187215
4/22/2024,466.89,527.95,519.9,566.07,539.73,25.96,0.004,2604300,-19.83,-16.73549772
4/23/2024,472.9,524.86,518.05,564.56,538.41,37.91,0.013,2205800,-20.36,-17.46039818
4/24/2024,477.12,522.17,516.45,563.16,537.19,43.44,0.009,2338000,-20.74,-18.11631854
4/25/2024,473.44,519.6,514.76,561.78,535.93,41.51,-0.008,2250900,-21.17,-18.72705483
4/26/2024,477.56,517.06,513.3,560.43,534.78,37.44,0.009,2460300,-21.48,-19.27764387
4/29/2024,473.07,514.71,511.73,559.12,533.55,37.97,-0.009,2954700,-21.82,-19.78611509
4/30/2024,462.83,513.03,509.81,557.73,532.15,33.78,-0.022,3222600,-22.34,-20.29689207
5/1/2024,469.39,511.58,508.22,556.46,530.91,46.24,0.014,2490200,-22.69,-20.77551366
5/2/2024,476.57,510.34,506.98,555.14,529.83,54.92,0.015,2516400,-22.85,-21.19041093
5/3/2024,486.18,509.31,506.17,553.9,528.97,57.2,0.02,2833200,-22.8,-21.51232874
5/6/2024,493.59,508.12,505.67,552.59,528.27,62.79,0.015,2104000,-22.6,-21.72986299
5/7/2024,492.27,506.75,505.15,551.17,527.56,62.75,-0.003,2518300,-22.41,-21.8658904
5/8/2024,488.1,505.47,504.48,549.81,526.78,66.28,-0.008,2165000,-22.3,-21.95271232
5/9/2024,482.65,504.08,503.62,548.79,525.9,60.58,-0.011,2301600,-22.28,-22.01816985
5/10/2024,482.29,502.52,502.79,547.77,525.04,56.82,-0.001,2741100,-22.25,-22.06453588
5/13/2024,483.11,500.77,502.01,546.61,524.21,54.58,0.002,2458200,-22.2,-22.09162871
5/14/2024,475.95,498.93,500.99,545.32,523.25,51.82,-0.015,4287800,-22.26,-22.12530296
5/15/2024,485.35,497.74,500.38,544.21,522.5,55.25,0.02,3491600,-22.12,-22.12424237
5/16/2024,482.88,496.53,499.69,543.04,521.72,56.8,-0.005,2562900,-22.03,-22.1053939
5/17/2024,483.43,495.08,499.06,541.89,520.96,66.49,0.001,2260900,-21.9,-22.06431512
5/20/2024,484.69,493.74,498.49,540.75,520.24,63.38,0.003,1881100,-21.75,-22.00145209
5/21/2024,481.85,492.17,497.84,539.61,519.48,55,-0.006,1915800,-21.64,-21.92916168
5/22/2024,483.93,490.26,497.29,538.49,518.78,47.52,0.004,1875800,-21.49,-21.84132934
5/23/2024,483.31,488.46,496.75,537.36,518.07,36.65,-0.001,2219900,-21.32,-21.73706347
5/24/2024,475.43,486.56,495.91,536.31,517.23,31.31,-0.016,3083700,-21.32,-21.65365078
5/28/2024,478.43,486.28,495.22,535.38,516.46,38.98,0.006,2575300,-21.24,-21.57092062
5/29/2024,477.6,485.55,494.53,534.48,515.69,43.57,-0.002,2214800,-21.16,-21.4887365
5/30/2024,445.87,484.05,492.62,533.3,514.31,24.22,-0.066,5606900,-21.69,-21.5289892
5/31/2024,444.76,482.56,490.75,531.94,512.93,22.97,-0.002,7487500,-22.18,-21.65919136
6/3/2024,439.02,481.11,488.72,530.47,511.47,23.44,-0.013,3967700,-22.75,-21.87735309
6/4/2024,448.37,480.09,487.14,529.04,510.22,23.38,0.021,3183600,-23.08,-22.11788247
6/5/2024,455.8,479.06,485.91,527.62,509.14,31.81,0.017,3295000,-23.23,-22.34030598
6/6/2024,458.13,478.07,484.82,526.24,508.13,33.4,0.005,3235000,-23.31,-22.53424478
6/7/2024,465.43,477.29,484.06,524.92,507.29,38.29,0.016,2684200,-23.23,-22.67339582
6/10/2024,459.94,476.4,483.11,523.56,506.35,37.1,-0.012,3212400,-23.24,-22.78671666
